TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 9        , 2       ,          ,         , BEGIN                    ,                
819                  , 819                 , 1        , 2        , 1       , 2        , 1       , CREATE                   ,                
830                  , 10                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
853                  , 23                  , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
900                  , 47                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1369                 , 468                 , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2057                 , 687                 , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
2088                 , 31                  , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2116                 , 28                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
2344                 , 228                 , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2369                 , 24                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
2379                 , 9                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2403                 , 24                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
6505                 , 6505                , 2        , 11       , 2       , 11       , 2       , CREATE                   ,                
6506                 , 6506                , 3        , 1        , 1       , 1        , 1       , CREATE                   ,                
6513                 , 6                   , 3        , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
6520                 , 15                  , 2        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
6533                 , 6533                , 4        , 25       , 2       , 25       , 2       , CREATE                   ,                
6551                 , 18                  , 4        , 25       , 2       , 25       , 2       , RESTART ON SAME CPU      ,                
6555                 , 41                  , 3        , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
6574                 , 6574                , 5        , 0        , 1       , 0        , 1       , CREATE                   ,                
6578                 , 23                  , 3        , 1        , 1       , 1        , 1       , PREEMPTED                ,                
6580                 , 5                   , 5        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
6581                 , 60                  , 2        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
6582                 , 31                  , 4        , 25       , 2       , 25       , 2       , SLEEPING ON              , cond var       
6591                 , 9                   , 2        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
6592                 , 10                  , 4        , 25       , 2       , 25       , 2       , PREEMPTED                ,                
6597                 , 17                  , 5        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
6604                 , 6                   , 5        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
6604                 , 6604                , 7        , 1        , 1       , 1        , 1       , CREATE                   ,                
6609                 , 4                   , 7        , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
6627                 , 18                  , 7        , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
6633                 , 6                   , 7        , 1        , 1       , 1        , 1       , PREEMPTED                ,                
6634                 , 4230                , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
6641                 , 7                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
6649                 , 6649                , 6        , 31       , 2       , 31       , 2       , CREATE                   ,                
6654                 , 5                   , 6        , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
6670                 , 16                  , 6        , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
6677                 , 6                   , 6        , 31       , 2       , 31       , 2       , PREEMPTED                ,                
6710                 , 6710                , 8        , 13       , 2       , 13       , 2       , CREATE                   ,                
6715                 , 5                   , 8        , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
6747                 , 31                  , 8        , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
6750                 , 172                 , 3        , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
6754                 , 6                   , 8        , 13       , 2       , 13       , 2       , PREEMPTED                ,                
6767                 , 176                 , 2        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
6782                 , 189                 , 4        , 25       , 2       , 25       , 2       , RESTART ON SAME CPU      ,                
6798                 , 194                 , 5        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
6818                 , 185                 , 7        , 17       , 1       , 1        , 1       , CPU MIGRATION            ,                
6829                 , 10                  , 7        , 17       , 1       , 17       , 1       , RESTART ON SAME CPU      ,                
6849                 , 207                 , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
6864                 , 186                 , 6        , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
6878                 , 124                 , 8        , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
66366                , 59487               , 8        , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
66369                , 59570               , 5        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
66372                , 59508               , 6        , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
66373                , 7                   , 8        , 13       , 2       , 13       , 2       , PREEMPTED                ,                
66376                , 59546               , 7        , 17       , 1       , 17       , 1       , SLEEPING ON              , cond var       
66376                , 7                   , 5        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
66378                , 59529               , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
66379                , 59596               , 4        , 25       , 2       , 25       , 2       , SLEEPING ON              , cond var       
66379                , 6                   , 6        , 31       , 2       , 31       , 2       , PREEMPTED                ,                
66386                , 10                  , 7        , 17       , 1       , 17       , 1       , PREEMPTED                ,                
66386                , 7                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
66387                , 8                   , 4        , 25       , 2       , 25       , 2       , PREEMPTED                ,                
