        0:0         TID   1 CPU  12(2) created
        0:0         TID   1 CPU  12(2) created
        0:0         TID   1 CPU  12(2) created
        0:0         TID   1 CPU  12(2) created
Threads: 4 Range: 99
Time: 42171.1 usecs
        0:0         TID   4 CPU  10(2) created
        0:1465568758220 TID   4 sleeping on 'cond var'
        0:0         TID   4 CPU  10(2) created
       39:1465568758259 TID   4 sleeping on 'cond var'
       39:1465568758259 TID   4 CPU  10(2) preempted
       39:1465568758259 TID   4 CPU  10(2) restarted on the same CPU
       39:1465568758259 TID   4 sleeping on 'cond var'
       39:1465568758259 TID   4 CPU  10(2) preempted
       50:1465568758270 TID   4 CPU  10(2) restarted on the same CPU
        0:0         TID   2 CPU  11(2) created
        0:1465568758220 TID   2 sleeping on 'cond var'
        0:0         TID   2 CPU  11(2) created
       39:1465568758259 TID   2 sleeping on 'cond var'
       39:1465568758259 TID   2 CPU  11(2) preempted
       39:1465568758259 TID   2 CPU  11(2) restarted on the same CPU
       39:1465568758259 TID   2 sleeping on 'cond var'
       39:1465568758259 TID   2 CPU  11(2) preempted
       50:1465568758270 TID   2 CPU  11(2) restarted on the same CPU
        0:0         TID   1 CPU  12(2) created
        0:0         TID   1 CPU  12(2) created
        0:1465568758220 TID   1 sleeping on 'cond var'
        0:0         TID   1 CPU  12(2) created
       39:1465568758259 TID   1 sleeping on 'cond var'
       39:1465568758259 TID   1 CPU  12(2) preempted
       39:1465568758259 TID   1 CPU  12(2) restarted on the same CPU
       39:1465568758259 TID   1 sleeping on 'cond var'
       39:1465568758259 TID   1 CPU  12(2) preempted
       50:1465568758270 TID   1 CPU  12(2) restarted on the same CPU
       50:1465568758270 TID   1 sleeping on 'cond var'
       50:1465568758270 TID   1 CPU  12(2) preempted
       50:1465568758270 TID   1 CPU  12(2) restarted on the same CPU
       50:1465568758270 TID   1 sleeping on 'shuttle'
       50:1465568758270 TID   1 CPU  12(2) preempted
       50:1465568758270 TID   1 CPU  12(2) restarted on the same CPU
       50:1465568758270 TID   1 sleeping on 'shuttle'
       50:1465568758270 TID   1 CPU  12(2) preempted
       50:1465568758270 TID   1 CPU  12(2) restarted on the same CPU
       50:1465568758270 TID   1 sleeping on 'cond var'
       50:1465568758270 TID   1 CPU  12(2) preempted
       50:1465568758270 TID   1 CPU  12(2) restarted on the same CPU
       50:1465568758270 TID   1 sleeping on 'cond var'
       50:1465568758270 TID   1 CPU  12(2) preempted
       50:1465568758270 TID   1 CPU  12(2) restarted on the same CPU
        0:0         TID   3 CPU  20(1) created
        0:1465568758220 TID   3 sleeping on 'cond var'
        0:0         TID   3 CPU  20(1) created
       19:1465568758239 TID   3 sleeping on 'cond var'
       19:1465568758239 TID   3 CPU  20(1) preempted
       39:1465568758259 TID   3 CPU  20(1) restarted on the same CPU
       39:1465568758259 TID   3 sleeping on 'cond var'
       39:1465568758259 TID   3 CPU  20(1) preempted
       50:1465568758270 TID   3 CPU  20(1) restarted on the same CPU

