TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
7268                 , 7268                , 35       , 31       , 2       , 31       , 2       , CREATE                   ,                
7273                 , 5                   , 35       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
7285                 , 11                  , 35       , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
7299                 , 14                  , 35       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
46940                , 39640               , 35       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
86951                , 40010               , 35       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
126951               , 40000               , 35       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
166943               , 39991               , 35       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
174420               , 7477                , 35       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
180321               , 5900                , 35       , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
180327               , 6                   , 35       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
184052               , 3724                , 35       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
184063               , 11                  , 35       , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
184070               , 6                   , 35       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
187138               , 3068                , 35       , 13       , 2       , 31       , 2       , CPU MIGRATION            ,                
187144               , 5                   , 35       , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
