TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
7822                 , 7822                , 61       , 31       , 2       , 31       , 2       , CREATE                   ,                
7826                 , 4                   , 61       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
7836                 , 10                  , 61       , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
7842                 , 5                   , 61       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
47702                , 39860               , 61       , 8        , 2       , 31       , 2       , CPU MIGRATION            ,                
47708                , 6                   , 61       , 8        , 2       , 8        , 2       , RESTART ON SAME CPU      ,                
86932                , 39224               , 61       , 8        , 2       , 8        , 2       , PREEMPTED                ,                
126938               , 40005               , 61       , 8        , 2       , 8        , 2       , RESTART ON SAME CPU      ,                
166926               , 39988               , 61       , 8        , 2       , 8        , 2       , PREEMPTED                ,                
173977               , 7050                , 61       , 8        , 2       , 8        , 2       , RESTART ON SAME CPU      ,                
177102               , 3124                , 61       , 8        , 2       , 8        , 2       , PREEMPTED                ,                
177119               , 16                  , 61       , 8        , 2       , 8        , 2       , RESTART ON SAME CPU      ,                
180369               , 3250                , 61       , 8        , 2       , 8        , 2       , SLEEPING ON              , cond var       
180378               , 9                   , 61       , 8        , 2       , 8        , 2       , PREEMPTED                ,                
184064               , 3685                , 61       , 8        , 2       , 8        , 2       , RESTART ON SAME CPU      ,                
184075               , 11                  , 61       , 8        , 2       , 8        , 2       , SLEEPING ON              , cond var       
184087               , 11                  , 61       , 8        , 2       , 8        , 2       , PREEMPTED                ,                
187123               , 3036                , 61       , 11       , 2       , 8        , 2       , CPU MIGRATION            ,                
187130               , 6                   , 61       , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
187159               , 29                  , 61       , 11       , 2       , 11       , 2       , EXIT                     ,                
