TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
7742                 , 7742                , 16       , 7        , 1       , 7        , 1       , CREATE                   ,                
7747                 , 4                   , 16       , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
7760                 , 12                  , 16       , 7        , 1       , 7        , 1       , SLEEPING ON              , cond var       
7765                 , 5                   , 16       , 7        , 1       , 7        , 1       , PREEMPTED                ,                
10387                , 2621                , 16       , 21       , 1       , 7        , 1       , CPU MIGRATION            ,                
10393                , 6                   , 16       , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
29102                , 18708               , 16       , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
29115                , 13                  , 16       , 21       , 1       , 21       , 1       , PREEMPTED                ,                
46098                , 16982               , 16       , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
46111                , 12                  , 16       , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
46121                , 9                   , 16       , 21       , 1       , 21       , 1       , PREEMPTED                ,                
52043                , 5922                , 16       , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
