TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
10596                , 10596               , 5        , 6        , 1       , 6        , 1       , CREATE                   ,                
10602                , 5                   , 5        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
10626                , 24                  , 5        , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
10635                , 8                   , 5        , 6        , 1       , 6        , 1       , PREEMPTED                ,                
10847                , 211                 , 5        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
529674               , 518826              , 5        , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
529683               , 9                   , 5        , 6        , 1       , 6        , 1       , PREEMPTED                ,                
529808               , 125                 , 5        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
529820               , 11                  , 5        , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
529827               , 7                   , 5        , 6        , 1       , 6        , 1       , PREEMPTED                ,                
532513               , 2685                , 5        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
532524               , 11                  , 5        , 6        , 1       , 6        , 1       , EXIT                     ,                
