TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
6789                 , 6789                , 8        , 11       , 2       , 11       , 2       , CREATE                   ,                
6794                 , 5                   , 8        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
6812                 , 17                  , 8        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
6822                 , 9                   , 8        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
8247                 , 1425                , 8        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
10595                , 2347                , 8        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
10847                , 252                 , 8        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
43854                , 33007               , 8        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
43867                , 12                  , 8        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
47153                , 3286                , 8        , 27       , 2       , 11       , 2       , CPU MIGRATION            ,                
47159                , 5                   , 8        , 27       , 2       , 27       , 2       , RESTART ON SAME CPU      ,                
47173                , 13                  , 8        , 27       , 2       , 27       , 2       , SLEEPING ON              , cond var       
47183                , 9                   , 8        , 27       , 2       , 27       , 2       , PREEMPTED                ,                
51444                , 4260                , 8        , 27       , 2       , 27       , 2       , RESTART ON SAME CPU      ,                
51510                , 66                  , 8        , 27       , 2       , 27       , 2       , EXIT                     ,                
