TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
10548                , 10548               , 6        , 7        , 1       , 7        , 1       , CREATE                   ,                
10553                , 4                   , 6        , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
10569                , 16                  , 6        , 7        , 1       , 7        , 1       , SLEEPING ON              , cond var       
10576                , 6                   , 6        , 7        , 1       , 7        , 1       , PREEMPTED                ,                
13253                , 2677                , 6        , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
56164                , 42911               , 6        , 7        , 1       , 7        , 1       , PREEMPTED                ,                
95588                , 39423               , 6        , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
135564               , 39976               , 6        , 7        , 1       , 7        , 1       , PREEMPTED                ,                
175584               , 40019               , 6        , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
187445               , 11860               , 6        , 7        , 1       , 7        , 1       , SLEEPING ON              , cond var       
187453               , 7                   , 6        , 7        , 1       , 7        , 1       , PREEMPTED                ,                
192336               , 4883                , 6        , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
192347               , 10                  , 6        , 7        , 1       , 7        , 1       , SLEEPING ON              , cond var       
192353               , 6                   , 6        , 7        , 1       , 7        , 1       , PREEMPTED                ,                
194030               , 1677                , 6        , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
194236               , 206                 , 6        , 7        , 1       , 7        , 1       , EXIT                     ,                
