TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
6611                 , 6611                , 13       , 13       , 2       , 13       , 2       , CREATE                   ,                
6615                 , 4                   , 13       , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
6627                 , 12                  , 13       , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
6633                 , 5                   , 13       , 13       , 2       , 13       , 2       , PREEMPTED                ,                
7062                 , 429                 , 13       , 31       , 2       , 13       , 2       , CPU MIGRATION            ,                
7068                 , 5                   , 13       , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
123223               , 116155              , 13       , 31       , 2       , 31       , 2       , PREEMPTED                ,                
123239               , 16                  , 13       , 27       , 2       , 31       , 2       , CPU MIGRATION            ,                
123247               , 8                   , 13       , 27       , 2       , 27       , 2       , RESTART ON SAME CPU      ,                
324042               , 200794              , 13       , 27       , 2       , 27       , 2       , SLEEPING ON              , cond var       
324052               , 10                  , 13       , 27       , 2       , 27       , 2       , PREEMPTED                ,                
324266               , 214                 , 13       , 27       , 2       , 27       , 2       , RESTART ON SAME CPU      ,                
324275               , 8                   , 13       , 27       , 2       , 27       , 2       , SLEEPING ON              , cond var       
324283               , 7                   , 13       , 27       , 2       , 27       , 2       , PREEMPTED                ,                
326713               , 2430                , 13       , 27       , 2       , 27       , 2       , RESTART ON SAME CPU      ,                
326870               , 157                 , 13       , 27       , 2       , 27       , 2       , EXIT                     ,                
