TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
7250                 , 7250                , 32       , 2        , 1       , 2        , 1       , CREATE                   ,                
7256                 , 6                   , 32       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
7274                 , 18                  , 32       , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
7284                 , 9                   , 32       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
9917                 , 2632                , 32       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
45439                , 35521               , 32       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
47186                , 1746                , 32       , 3        , 1       , 2        , 1       , CPU MIGRATION            ,                
47193                , 7                   , 32       , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
47324                , 131                 , 32       , 3        , 1       , 3        , 1       , PREEMPTED                ,                
47338                , 13                  , 32       , 7        , 1       , 3        , 1       , CPU MIGRATION            ,                
47345                , 6                   , 32       , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
47538                , 193                 , 32       , 7        , 1       , 7        , 1       , SLEEPING ON              , cond var       
47550                , 12                  , 32       , 7        , 1       , 7        , 1       , PREEMPTED                ,                
49412                , 1862                , 32       , 7        , 1       , 7        , 1       , RESTART ON SAME CPU      ,                
49422                , 9                   , 32       , 7        , 1       , 7        , 1       , SLEEPING ON              , cond var       
49428                , 6                   , 32       , 7        , 1       , 7        , 1       , PREEMPTED                ,                
51126                , 1697                , 32       , 2        , 1       , 7        , 1       , CPU MIGRATION            ,                
51134                , 8                   , 32       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
