TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 2        , 1       ,          ,         , BEGIN                    ,                
883                  , 883                 , 1        , 28       , 2       , 28       , 2       , CREATE                   ,                
896                  , 13                  , 1        , 28       , 2       , 28       , 2       , RESTART ON SAME CPU      ,                
924                  , 28                  , 1        , 28       , 2       , 28       , 2       , PREEMPTED                ,                
973                  , 48                  , 1        , 28       , 2       , 28       , 2       , RESTART ON SAME CPU      ,                
1425                 , 452                 , 1        , 28       , 2       , 28       , 2       , PREEMPTED                ,                
Threads: 4 Range: 99
Time: 65705.4 usecs
5692                 , 5692                , 2        , 16       , 1       , 16       , 1       , CREATE                   ,                
5709                 , 16                  , 2        , 16       , 1       , 16       , 1       , RESTART ON SAME CPU      ,                
5748                 , 39                  , 2        , 16       , 1       , 16       , 1       , SLEEPING ON              , cond var       
5759                 , 11                  , 2        , 16       , 1       , 16       , 1       , PREEMPTED                ,                
5816                 , 56                  , 2        , 16       , 1       , 16       , 1       , RESTART ON SAME CPU      ,                
69140                , 63323               , 2        , 16       , 1       , 16       , 1       , SLEEPING ON              , cond var       
69149                , 8                   , 2        , 16       , 1       , 16       , 1       , PREEMPTED                ,                
70960                , 1811                , 2        , 16       , 1       , 16       , 1       , RESTART ON SAME CPU      ,                
70976                , 16                  , 2        , 16       , 1       , 16       , 1       , SLEEPING ON              , cond var       
70984                , 7                   , 2        , 16       , 1       , 16       , 1       , PREEMPTED                ,                
73702                , 2717                , 2        , 16       , 1       , 16       , 1       , RESTART ON SAME CPU      ,                
73712                , 10                  , 2        , 16       , 1       , 16       , 1       , EXIT                     ,                
5763                 , 5763                , 4        , 22       , 1       , 22       , 1       , CREATE                   ,                
5769                 , 5                   , 4        , 22       , 1       , 22       , 1       , RESTART ON SAME CPU      ,                
5798                 , 29                  , 4        , 22       , 1       , 22       , 1       , SLEEPING ON              , cond var       
5807                 , 8                   , 4        , 22       , 1       , 22       , 1       , PREEMPTED                ,                
5849                 , 41                  , 4        , 22       , 1       , 22       , 1       , RESTART ON SAME CPU      ,                
69133                , 63284               , 4        , 22       , 1       , 22       , 1       , SLEEPING ON              , cond var       
69143                , 9                   , 4        , 22       , 1       , 22       , 1       , PREEMPTED                ,                
70863                , 1719                , 4        , 22       , 1       , 22       , 1       , RESTART ON SAME CPU      ,                
70882                , 19                  , 4        , 22       , 1       , 22       , 1       , SLEEPING ON              , cond var       
70897                , 14                  , 4        , 22       , 1       , 22       , 1       , PREEMPTED                ,                
73702                , 2805                , 4        , 22       , 1       , 22       , 1       , RESTART ON SAME CPU      ,                
73725                , 22                  , 4        , 22       , 1       , 22       , 1       , EXIT                     ,                
