        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
Threads: 1 Range: 99
Time: 45176 usecs
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
       49:1465568805579 TID   1 sleeping on 'cond var'
       49:1465568805579 TID   1 CPU  22(1) preempted
       49:1465568805579 TID   1 CPU  22(1) restarted on the same CPU
       49:1465568805579 TID   1 sleeping on 'cond var'
       49:1465568805579 TID   1 CPU  22(1) preempted
       49:1465568805579 TID   1 CPU  22(1) restarted on the same CPU
       49:1465568805579 TID   1 sleeping on 'shuttle'
       49:1465568805579 TID   1 CPU  22(1) preempted
       49:1465568805579 TID   1 CPU  22(1) restarted on the same CPU
       49:1465568805579 TID   1 sleeping on 'shuttle'
       49:1465568805579 TID   1 CPU  22(1) preempted
       49:1465568805579 TID   1 CPU  22(1) restarted on the same CPU

