        0:0         TID   1 CPU  31(2) created
        0:0         TID   1 CPU  31(2) created
        0:0         TID   1 CPU  31(2) created
        0:0         TID   1 CPU  31(2) created
        0:0         TID   1 CPU  31(2) created
        0:0         TID   1 CPU  31(2) created
Threads: 2 Range: 99
Time: 40474.8 usecs
        0:0         TID   2 CPU   3(1) created
        0:1465568882440 TID   2 sleeping on 'cond var'
        0:0         TID   2 CPU   3(1) created
       29:1465568882469 TID   2 sleeping on 'cond var'
       29:1465568882469 TID   2 CPU   3(1) preempted
       39:1465568882480 TID   2 CPU   3(1) restarted on the same CPU
       39:1465568882480 TID   2 sleeping on 'cond var'
       39:1465568882480 TID   2 CPU   3(1) preempted
       39:1465568882480 TID   2 CPU   3(1) restarted on the same CPU
        0:1465568882440 TID   1 sleeping on 'cond var'
        0:0         TID   1 CPU  31(2) created
       39:1465568882480 TID   1 sleeping on 'cond var'
       39:1465568882480 TID   1 CPU  31(2) preempted
       39:1465568882480 TID   1 CPU  31(2) restarted on the same CPU
       39:1465568882480 TID   1 sleeping on 'cond var'
       39:1465568882480 TID   1 CPU  31(2) preempted
       39:1465568882480 TID   1 CPU  31(2) restarted on the same CPU
       39:1465568882480 TID   1 sleeping on 'cond var'
       39:1465568882480 TID   1 CPU  31(2) preempted
       39:1465568882480 TID   1 CPU  31(2) restarted on the same CPU
       39:1465568882480 TID   1 sleeping on 'shuttle'
       39:1465568882480 TID   1 CPU  31(2) preempted
       39:1465568882480 TID   1 CPU  31(2) restarted on the same CPU
       39:1465568882480 TID   1 sleeping on 'shuttle'
       39:1465568882480 TID   1 CPU  31(2) preempted
       39:1465568882480 TID   1 CPU  31(2) restarted on the same CPU
       39:1465568882480 TID   1 sleeping on 'cond var'
       39:1465568882480 TID   1 CPU  31(2) preempted
       39:1465568882480 TID   1 CPU  31(2) restarted on the same CPU

