        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
Threads: 2 Range: 99
Time: 83931.1 usecs
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        9:1465568810919 TID   1 sleeping on 'cond var'
        9:1465568810919 TID   1 CPU   0(1) preempted
        9:1465568810919 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   1 sleeping on 'cond var'
       89:1465568810999 TID   1 CPU   0(1) preempted
       89:1465568810999 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   1 sleeping on 'cond var'
       89:1465568810999 TID   1 CPU   0(1) preempted
       89:1465568810999 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   1 sleeping on 'cond var'
       89:1465568810999 TID   1 CPU   0(1) preempted
       89:1465568810999 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   1 sleeping on 'shuttle'
       89:1465568810999 TID   1 CPU   0(1) preempted
       89:1465568810999 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   1 sleeping on 'shuttle'
       89:1465568810999 TID   1 CPU   0(1) preempted
       89:1465568810999 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   1 sleeping on 'cond var'
       89:1465568810999 TID   1 CPU   0(1) preempted
       89:1465568810999 TID   1 CPU   0(1) restarted on the same CPU
       89:1465568810999 TID   2  from-CPU 23(1) to-cpu 22(1) CPU migration
       89:1465568810999 TID   2 CPU  22(1) restarted on the same CPU
       89:1465568810999 TID   2 sleeping on 'cond var'
       89:1465568810999 TID   2 CPU  22(1) preempted
       89:1465568810999 TID   2 CPU  22(1) restarted on the same CPU
        9:0         TID   2 CPU  23(1) created
        9:1465568810919 TID   2 CPU  23(1) restarted on the same CPU
        9:1465568810919 TID   2 sleeping on 'cond var'
        9:1465568810919 TID   2 CPU  23(1) preempted
        9:1465568810919 TID   2 CPU  23(1) restarted on the same CPU
       89:1465568810999 TID   2 sleeping on 'cond var'
       89:1465568810999 TID   2 CPU  23(1) preempted

