        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
Threads: 1 Range: 99
Time: 35023.8 usecs
        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
       39:1465568738590 TID   1 sleeping on 'cond var'
       39:1465568738590 TID   1 CPU  17(1) preempted
       39:1465568738590 TID   1 CPU  17(1) restarted on the same CPU
       39:1465568738590 TID   1 sleeping on 'cond var'
       39:1465568738590 TID   1 CPU  17(1) preempted
       39:1465568738590 TID   1 CPU  17(1) restarted on the same CPU
       39:1465568738590 TID   1 sleeping on 'shuttle'
       39:1465568738590 TID   1 CPU  17(1) preempted
       39:1465568738590 TID   1 CPU  17(1) restarted on the same CPU
       39:1465568738590 TID   1 sleeping on 'shuttle'
       39:1465568738590 TID   1 CPU  17(1) preempted
       39:1465568738590 TID   1 CPU  17(1) restarted on the same CPU

