        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
Threads: 1 Range: 99
Time: 27674.7 usecs
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
       40:1465568872020 TID   1 sleeping on 'cond var'
       40:1465568872020 TID   1 CPU  26(2) preempted
       40:1465568872020 TID   1 CPU  26(2) restarted on the same CPU
       40:1465568872020 TID   1 sleeping on 'cond var'
       40:1465568872020 TID   1 CPU  26(2) preempted
       40:1465568872020 TID   1 CPU  26(2) restarted on the same CPU
       40:1465568872020 TID   1 sleeping on 'shuttle'
       40:1465568872020 TID   1 CPU  26(2) preempted
       40:1465568872020 TID   1 CPU  26(2) restarted on the same CPU
       40:1465568872020 TID   1 sleeping on 'shuttle'
       40:1465568872020 TID   1 CPU  26(2) preempted
       40:1465568872020 TID   1 CPU  26(2) restarted on the same CPU

