        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
Threads: 2 Range: 99
Time: 40446.7 usecs
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        9:1465568754629 TID   1 sleeping on 'cond var'
        9:1465568754629 TID   1 CPU   0(1) preempted
        9:1465568754629 TID   1 CPU   0(1) restarted on the same CPU
       49:1465568754669 TID   1 sleeping on 'cond var'
       49:1465568754669 TID   1 CPU   0(1) preempted
       49:1465568754669 TID   1 CPU   0(1) restarted on the same CPU
       49:1465568754669 TID   1 sleeping on 'cond var'
       49:1465568754669 TID   1 CPU   0(1) preempted
       49:1465568754669 TID   1 CPU   0(1) restarted on the same CPU
       49:1465568754669 TID   1 sleeping on 'cond var'
       49:1465568754669 TID   1 CPU   0(1) preempted
       49:1465568754669 TID   1 CPU   0(1) restarted on the same CPU
       49:1465568754669 TID   1 sleeping on 'shuttle'
       49:1465568754669 TID   1 CPU   0(1) preempted
       49:1465568754669 TID   1 CPU   0(1) restarted on the same CPU
       49:1465568754669 TID   1 sleeping on 'shuttle'
       49:1465568754669 TID   1 CPU   0(1) preempted
       49:1465568754669 TID   1 CPU   0(1) restarted on the same CPU
       49:1465568754669 TID   1 sleeping on 'cond var'
       49:1465568754669 TID   1 CPU   0(1) preempted
       49:1465568754669 TID   1 CPU   0(1) restarted on the same CPU
        9:0         TID   2 CPU  11(2) created
        9:1465568754629 TID   2 CPU  11(2) restarted on the same CPU
        9:1465568754629 TID   2 sleeping on 'cond var'
        9:1465568754629 TID   2 CPU  11(2) preempted
        9:1465568754629 TID   2 CPU  11(2) restarted on the same CPU
       39:1465568754659 TID   2 sleeping on 'cond var'
       39:1465568754659 TID   2 CPU  11(2) preempted
       49:1465568754669 TID   2 CPU  11(2) restarted on the same CPU
       49:1465568754669 TID   2 sleeping on 'cond var'
       49:1465568754669 TID   2 CPU  11(2) preempted
       49:1465568754669 TID   2 CPU  11(2) restarted on the same CPU

