TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 6        , 1       ,          ,         , BEGIN                    ,                
786                  , 786                 , 1        , 15       , 2       , 15       , 2       , CREATE                   ,                
818                  , 32                  , 1        , 15       , 2       , 15       , 2       , RESTART ON SAME CPU      ,                
843                  , 24                  , 1        , 15       , 2       , 15       , 2       , PREEMPTED                ,                
889                  , 46                  , 1        , 15       , 2       , 15       , 2       , RESTART ON SAME CPU      ,                
Threads: 16 Range: 262144
Time: 290117 usecs
5876                 , 5876                , 4        , 0        , 1       , 0        , 1       , CREATE                   ,                
5882                 , 5                   , 4        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
5900                 , 17                  , 4        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
5909                 , 9                   , 4        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
6204                 , 294                 , 4        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
295188               , 288984              , 4        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
295196               , 7                   , 4        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
295348               , 152                 , 4        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
295360               , 12                  , 4        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
295367               , 6                   , 4        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
298029               , 2662                , 4        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
298129               , 99                  , 4        , 0        , 1       , 0        , 1       , EXIT                     ,                
81340                , 20                  , 14       , 1        , 1       , 22       , 1       , CPU MIGRATION            ,                
81345                , 5                   , 14       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
295195               , 213849              , 14       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
295202               , 6                   , 14       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
295460               , 257                 , 14       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
295500               , 40                  , 14       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
295506               , 6                   , 14       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
298047               , 2540                , 14       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
6017                 , 6017                , 10       , 2        , 1       , 2        , 1       , CREATE                   ,                
6021                 , 4                   , 10       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
6035                 , 14                  , 10       , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
6043                 , 8                   , 10       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
6148                 , 6148                , 16       , 4        , 1       , 4        , 1       , CREATE                   ,                
6152                 , 4                   , 16       , 4        , 1       , 4        , 1       , RESTART ON SAME CPU      ,                
6186                 , 34                  , 16       , 4        , 1       , 4        , 1       , SLEEPING ON              , cond var       
6194                 , 8                   , 16       , 4        , 1       , 4        , 1       , PREEMPTED                ,                
6752                 , 557                 , 16       , 4        , 1       , 4        , 1       , RESTART ON SAME CPU      ,                
295191               , 288438              , 16       , 4        , 1       , 4        , 1       , SLEEPING ON              , cond var       
295202               , 11                  , 16       , 4        , 1       , 4        , 1       , PREEMPTED                ,                
295379               , 177                 , 16       , 4        , 1       , 4        , 1       , RESTART ON SAME CPU      ,                
295391               , 12                  , 16       , 4        , 1       , 4        , 1       , SLEEPING ON              , cond var       
295399               , 7                   , 16       , 4        , 1       , 4        , 1       , PREEMPTED                ,                
298068               , 2668                , 16       , 4        , 1       , 4        , 1       , RESTART ON SAME CPU      ,                
5899                 , 5899                , 6        , 6        , 1       , 6        , 1       , CREATE                   ,                
5903                 , 4                   , 6        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
5918                 , 15                  , 6        , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
5924                 , 5                   , 6        , 6        , 1       , 6        , 1       , PREEMPTED                ,                
6245                 , 321                 , 6        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
295182               , 288936              , 6        , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
295189               , 6                   , 6        , 6        , 1       , 6        , 1       , PREEMPTED                ,                
295270               , 81                  , 6        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
295286               , 15                  , 6        , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
295291               , 5                   , 6        , 6        , 1       , 6        , 1       , PREEMPTED                ,                
298035               , 2743                , 6        , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
298198               , 163                 , 6        , 6        , 1       , 6        , 1       , EXIT                     ,                
298039               , 2580                , 11       , 10       , 2       , 11       , 2       , CPU MIGRATION            ,                
298044               , 5                   , 11       , 10       , 2       , 10       , 2       , RESTART ON SAME CPU      ,                
298056               , 12                  , 11       , 10       , 2       , 10       , 2       , EXIT                     ,                
6529                 , 476                 , 11       , 11       , 2       , 14       , 2       , CPU MIGRATION            ,                
6535                 , 5                   , 11       , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
295192               , 288657              , 11       , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
295199               , 7                   , 11       , 11       , 2       , 11       , 2       , PREEMPTED                ,                
295438               , 239                 , 11       , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
295451               , 12                  , 11       , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
295458               , 6                   , 11       , 11       , 2       , 11       , 2       , PREEMPTED                ,                
5959                 , 5959                , 7        , 12       , 2       , 12       , 2       , CREATE                   ,                
5975                 , 15                  , 7        , 12       , 2       , 12       , 2       , RESTART ON SAME CPU      ,                
5991                 , 16                  , 7        , 12       , 2       , 12       , 2       , SLEEPING ON              , cond var       
6001                 , 9                   , 7        , 12       , 2       , 12       , 2       , PREEMPTED                ,                
6335                 , 333                 , 7        , 12       , 2       , 12       , 2       , RESTART ON SAME CPU      ,                
295199               , 288864              , 7        , 12       , 2       , 12       , 2       , SLEEPING ON              , cond var       
295208               , 9                   , 7        , 12       , 2       , 12       , 2       , PREEMPTED                ,                
